monto,año,iso3
-6142.2488482,2022,AGO
998.0554254,2022,ARM
-32.8933333,2022,BMU
4913.2526082955,2022,CYP
4010.4,2022,DOM
1352.40938,2022,GTM
32508.808407328,2022,JPN
757.7713697959,2022,KWT
2504.29,2022,MNG
1293.8,2022,NIC
326.7148607955,2022,PNG
7886.3419579,2022,SAU
250.0,2022,SLE
141210.9668252014,2022,SGP
1779.1755319149,2021,BHR
-2.2084299,2021,COK
1241.82174,2021,GEO
46467.6615091296,2021,DEU
197.61,2021,GIN
605.143327,2021,LBN
2864.5738467689,2021,LTU
357.5366653,2021,MDG
253.1892527542,2021,MUS
1749.3597206054,2021,NOR
11983.36333,2021,PHL
-9351.4194625736,2020,AUT
1021.3829787234,2020,BHR
262.1,2020,BRB
26884.3301249,2020,CAN
4015.5314509042,2020,COD
5851.8,2020,EGY
410.0169183231,2020,GNQ
1716.5115055221,2020,GAB
189.9,2020,GMB
-2859.1,2020,IRQ
76571.7196683975,2020,IRL
-23621.7684401934,2020,ITA
3159.5148974112,2020,MYS
15195.4411343109,2020,POL
19884.4686649,2020,ARE
50543.6793832949,2019,CAN
979.0204962,2019,ECU
636.16817,2019,SLV
350.7254974293,2019,KWT
3778.1053448206,2019,MLT
444.0777608829,2019,MUS
-178.9256710885,2019,NAM
8671.36587,2019,PHL
1.742414,2019,TON
6017.0,2019,UKR
27137.1750601106,2018,BEL
467.2953914129,2018,MLI
466.0422733311,2018,NER
87837.4772524722,2018,GBR
87.8622791061,2017,ABW
0.3164830954,2017,BDI
4416.953733854,2017,COD
1.9186428,2017,COK
5436.5588401442,2017,DNK
-5032.4,2017,IRQ
52834.9205273325,2017,IRL
2522.4096534,2017,LBN
3407.2897955287,2017,MLT
479.9958902667,2017,MUS
-5849.0002623412,2017,NOR
1418.8436138,2017,SAU
-179.5176189,2016,AGO
333.8239455,2016,ARM
1259.5309198,2016,BHS
68245.1130149875,2016,BEL
49022.9459368,2016,VG
663.7889999,2016,CMR
1611.6181955885,2016,COD
235.3039044999,2016,DNK
8106.8,2016,EGY
1174.37206,2016,GTM
28468.517411503,2016,ITA
19358.8360085998,2016,JPN
115.7,2016,MWI
2157.1494410287,2016,MAR
989.1,2016,NIC
-3899.880952381,2016,NOR
641.248989,2016,PRY
5688.5475018264,2016,PRT
2595.4809196166,2016,SRB
5.479,2016,TLS
4055.0,2016,UKR
11758.9940113,2015,ARG
-26.8715083799,2015,ABW
1488.3578131588,2015,AUT
417.90656885,2015,BRB
64.6148159,2015,BLZ
2109.1756351936,2015,FIN
94.3199999,2015,MNG
409.1661244187,2015,SEN
42.9949999,2015,TLS
39185.7000993049,2015,GBR
1111.4343788609,2014,ALB
356.4038229063,2014,BFA
46040.6097707,2014,CYM
-675.5459154299,2014,TCD
2891.2076840301,2014,HRV
6049.105,2014,ISR
2.632,2014,KIR
-133.394444223,2014,LTU
4901.7900893,2014,MOZ
1887.0,2014,PAK
3215.6815856947,2014,ROU
